Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
,,*,*,Eólica,*,5,212221200,250628
01/01/2020 00:00:00,1/1/2020 0:00,*,*,Eólica,*,5,2088,364
01/01/2020 01:00:00,1/1/2020 1:00,*,*,Eólica,*,5,1732,247
01/01/2020 02:00:00,1/1/2020 2:00,*,*,Eólica,*,5,1495,537
01/01/2020 03:00:00,1/1/2020 3:00,*,*,Eólica,*,5,1570,304
01/01/2020 04:00:00,1/1/2020 4:00,*,*,Eólica,*,5,1562,913
01/01/2020 05:00:00,1/1/2020 5:00,*,*,Eólica,*,5,1431,103
01/01/2020 06:00:00,1/1/2020 6:00,*,*,Eólica,*,5,1455,094
01/01/2020 07:00:00,1/1/2020 7:00,*,*,Eólica,*,5,1512,519
01/01/2020 08:00:00,1/1/2020 8:00,*,*,Eólica,*,5,1781,314
01/01/2020 09:00:00,1/1/2020 9:00,*,*,Eólica,*,5,1986,216
01/01/2020 10:00:00,1/1/2020 10:00,*,*,Eólica,*,5,2174,282
01/01/2020 11:00:00,1/1/2020 11:00,*,*,Eólica,*,5,2541,601
01/01/2020 12:00:00,1/1/2020 12:00,*,*,Eólica,*,5,2868,96
01/01/2020 13:00:00,1/1/2020 13:00,*,*,Eólica,*,5,3275,261
01/01/2020 14:00:00,1/1/2020 14:00,*,*,Eólica,*,5,3271,179
01/01/2020 15:00:00,1/1/2020 15:00,*,*,Eólica,*,5,2931,272
01/01/2020 16:00:00,1/1/2020 16:00,*,*,Eólica,*,5,2487,866
01/01/2020 17:00:00,1/1/2020 17:00,*,*,Eólica,*,5,2367,653
01/01/2020 18:00:00,1/1/2020 18:00,*,*,Eólica,*,5,2574,574
01/01/2020 19:00:00,1/1/2020 19:00,*,*,Eólica,*,5,2885,701
01/01/2020 20:00:00,1/1/2020 20:00,*,*,Eólica,*,5,3451,243
01/01/2020 21:00:00,1/1/2020 21:00,*,*,Eólica,*,5,3186,987
01/01/2020 22:00:00,1/1/2020 22:00,*,*,Eólica,*,5,2850,898
01/01/2020 23:00:00,1/1/2020 23:00,*,*,Eólica,*,5,3007,396
02/01/2020 00:00:00,2/1/2020 0:00,*,*,Eólica,*,5,3041,178
02/01/2020 01:00:00,2/1/2020 1:00,*,*,Eólica,*,5,3146,812
02/01/2020 02:00:00,2/1/2020 2:00,*,*,Eólica,*,5,2878,204
02/01/2020 03:00:00,2/1/2020 3:00,*,*,Eólica,*,5,2718,968
02/01/2020 04:00:00,2/1/2020 4:00,*,*,Eólica,*,5,2645,908
02/01/2020 05:00:00,2/1/2020 5:00,*,*,Eólica,*,5,2373,38
02/01/2020 06:00:00,2/1/2020 6:00,*,*,Eólica,*,5,2130,123
02/01/2020 07:00:00,2/1/2020 7:00,*,*,Eólica,*,5,2274,057
02/01/2020 08:00:00,2/1/2020 8:00,*,*,Eólica,*,5,2554,375
02/01/2020 09:00:00,2/1/2020 9:00,*,*,Eólica,*,5,2750,389
02/01/2020 10:00:00,2/1/2020 10:00,*,*,Eólica,*,5,3291,147
02/01/2020 11:00:00,2/1/2020 11:00,*,*,Eólica,*,5,3735,071
02/01/2020 12:00:00,2/1/2020 12:00,*,*,Eólica,*,5,4153,027
02/01/2020 13:00:00,2/1/2020 13:00,*,*,Eólica,*,5,4479,253
02/01/2020 14:00:00,2/1/2020 14:00,*,*,Eólica,*,5,4697,061
02/01/2020 15:00:00,2/1/2020 15:00,*,*,Eólica,*,5,4949,433
02/01/2020 16:00:00,2/1/2020 16:00,*,*,Eólica,*,5,4994,31
02/01/2020 17:00:00,2/1/2020 17:00,*,*,Eólica,*,5,4655,615
02/01/2020 18:00:00,2/1/2020 18:00,*,*,Eólica,*,5,4734,987
02/01/2020 19:00:00,2/1/2020 19:00,*,*,Eólica,*,5,4616,704
02/01/2020 20:00:00,2/1/2020 20:00,*,*,Eólica,*,5,4270,423
02/01/2020 21:00:00,2/1/2020 21:00,*,*,Eólica,*,5,4023,957
02/01/2020 22:00:00,2/1/2020 22:00,*,*,Eólica,*,5,3653,518
02/01/2020 23:00:00,2/1/2020 23:00,*,*,Eólica,*,5,3598,556
03/01/2020 00:00:00,3/1/2020 0:00,*,*,Eólica,*,5,3482,346
03/01/2020 01:00:00,3/1/2020 1:00,*,*,Eólica,*,5,3319,343
03/01/2020 02:00:00,3/1/2020 2:00,*,*,Eólica,*,5,3049,118
03/01/2020 03:00:00,3/1/2020 3:00,*,*,Eólica,*,5,2861,619
03/01/2020 04:00:00,3/1/2020 4:00,*,*,Eólica,*,5,2830,323
03/01/2020 05:00:00,3/1/2020 5:00,*,*,Eólica,*,5,2833,951
03/01/2020 06:00:00,3/1/2020 6:00,*,*,Eólica,*,5,2651,936
03/01/2020 07:00:00,3/1/2020 7:00,*,*,Eólica,*,5,3136,55
03/01/2020 08:00:00,3/1/2020 8:00,*,*,Eólica,*,5,3475,678
03/01/2020 09:00:00,3/1/2020 9:00,*,*,Eólica,*,5,3789,94
03/01/2020 10:00:00,3/1/2020 10:00,*,*,Eólica,*,5,3755,568
03/01/2020 11:00:00,3/1/2020 11:00,*,*,Eólica,*,5,3781,317
03/01/2020 12:00:00,3/1/2020 12:00,*,*,Eólica,*,5,4166,07
03/01/2020 13:00:00,3/1/2020 13:00,*,*,Eólica,*,5,4543,714
03/01/2020 14:00:00,3/1/2020 14:00,*,*,Eólica,*,5,5161,059
03/01/2020 15:00:00,3/1/2020 15:00,*,*,Eólica,*,5,5152,54
03/01/2020 16:00:00,3/1/2020 16:00,*,*,Eólica,*,5,5146,294
03/01/2020 17:00:00,3/1/2020 17:00,*,*,Eólica,*,5,4805,84
03/01/2020 18:00:00,3/1/2020 18:00,*,*,Eólica,*,5,4094,681
03/01/2020 19:00:00,3/1/2020 19:00,*,*,Eólica,*,5,3628,954
03/01/2020 20:00:00,3/1/2020 20:00,*,*,Eólica,*,5,3497,713
03/01/2020 21:00:00,3/1/2020 21:00,*,*,Eólica,*,5,3332,299
03/01/2020 22:00:00,3/1/2020 22:00,*,*,Eólica,*,5,3349,111
03/01/2020 23:00:00,3/1/2020 23:00,*,*,Eólica,*,5,3195,3
04/01/2020 00:00:00,4/1/2020 0:00,*,*,Eólica,*,5,3030,44
04/01/2020 01:00:00,4/1/2020 1:00,*,*,Eólica,*,5,2916,999
04/01/2020 02:00:00,4/1/2020 2:00,*,*,Eólica,*,5,2739,271
04/01/2020 03:00:00,4/1/2020 3:00,*,*,Eólica,*,5,2410,57
04/01/2020 04:00:00,4/1/2020 4:00,*,*,Eólica,*,5,2128,919
04/01/2020 05:00:00,4/1/2020 5:00,*,*,Eólica,*,5,2102,436
04/01/2020 06:00:00,4/1/2020 6:00,*,*,Eólica,*,5,2058,429
04/01/2020 07:00:00,4/1/2020 7:00,*,*,Eólica,*,5,2090,639
04/01/2020 08:00:00,4/1/2020 8:00,*,*,Eólica,*,5,2175,841
04/01/2020 09:00:00,4/1/2020 9:00,*,*,Eólica,*,5,2487,853
04/01/2020 10:00:00,4/1/2020 10:00,*,*,Eólica,*,5,2647,315
04/01/2020 11:00:00,4/1/2020 11:00,*,*,Eólica,*,5,2813,147
04/01/2020 12:00:00,4/1/2020 12:00,*,*,Eólica,*,5,3100,578
04/01/2020 13:00:00,4/1/2020 13:00,*,*,Eólica,*,5,3716,264
04/01/2020 14:00:00,4/1/2020 14:00,*,*,Eólica,*,5,3608,519
04/01/2020 15:00:00,4/1/2020 15:00,*,*,Eólica,*,5,3580,328
04/01/2020 16:00:00,4/1/2020 16:00,*,*,Eólica,*,5,3360,745
04/01/2020 17:00:00,4/1/2020 17:00,*,*,Eólica,*,5,3026,365
04/01/2020 18:00:00,4/1/2020 18:00,*,*,Eólica,*,5,2623,353
04/01/2020 19:00:00,4/1/2020 19:00,*,*,Eólica,*,5,2708,78
04/01/2020 20:00:00,4/1/2020 20:00,*,*,Eólica,*,5,2970,382
04/01/2020 21:00:00,4/1/2020 21:00,*,*,Eólica,*,5,2903,675
04/01/2020 22:00:00,4/1/2020 22:00,*,*,Eólica,*,5,2452,179
04/01/2020 23:00:00,4/1/2020 23:00,*,*,Eólica,*,5,2328,463
