Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
,,*,*,Hidrelétrica,*,5,8040480119,88969
01/01/2020 00:00:00,1/1/2020 0:00,*,*,Hidrelétrica,*,5,41052,51999686
01/01/2020 01:00:00,1/1/2020 1:00,*,*,Hidrelétrica,*,5,42502,82801979
01/01/2020 02:00:00,1/1/2020 2:00,*,*,Hidrelétrica,*,5,42350,78100567
01/01/2020 03:00:00,1/1/2020 3:00,*,*,Hidrelétrica,*,5,41450,55100037
01/01/2020 04:00:00,1/1/2020 4:00,*,*,Hidrelétrica,*,5,40487,70000484
01/01/2020 05:00:00,1/1/2020 5:00,*,*,Hidrelétrica,*,5,37788,45097333
01/01/2020 06:00:00,1/1/2020 6:00,*,*,Hidrelétrica,*,5,35171,98697415
01/01/2020 07:00:00,1/1/2020 7:00,*,*,Hidrelétrica,*,5,35178,14600036
01/01/2020 08:00:00,1/1/2020 8:00,*,*,Hidrelétrica,*,5,35682,85800003
01/01/2020 09:00:00,1/1/2020 9:00,*,*,Hidrelétrica,*,5,36346,70400146
01/01/2020 10:00:00,1/1/2020 10:00,*,*,Hidrelétrica,*,5,37085,40201123
01/01/2020 11:00:00,1/1/2020 11:00,*,*,Hidrelétrica,*,5,37243,43599961
01/01/2020 12:00:00,1/1/2020 12:00,*,*,Hidrelétrica,*,5,36623,21300056
01/01/2020 13:00:00,1/1/2020 13:00,*,*,Hidrelétrica,*,5,35954,9959923
01/01/2020 14:00:00,1/1/2020 14:00,*,*,Hidrelétrica,*,5,36218,99799688
01/01/2020 15:00:00,1/1/2020 15:00,*,*,Hidrelétrica,*,5,36886,35899188
01/01/2020 16:00:00,1/1/2020 16:00,*,*,Hidrelétrica,*,5,38377,85299805
01/01/2020 17:00:00,1/1/2020 17:00,*,*,Hidrelétrica,*,5,40219,71199325
01/01/2020 18:00:00,1/1/2020 18:00,*,*,Hidrelétrica,*,5,43776,47198507
01/01/2020 19:00:00,1/1/2020 19:00,*,*,Hidrelétrica,*,5,48192,89100213
01/01/2020 20:00:00,1/1/2020 20:00,*,*,Hidrelétrica,*,5,49020,04000201
01/01/2020 21:00:00,1/1/2020 21:00,*,*,Hidrelétrica,*,5,49602,20600453
01/01/2020 22:00:00,1/1/2020 22:00,*,*,Hidrelétrica,*,5,49142,97199625
01/01/2020 23:00:00,1/1/2020 23:00,*,*,Hidrelétrica,*,5,46639,49700344
02/01/2020 00:00:00,2/1/2020 0:00,*,*,Hidrelétrica,*,5,43998,81497556
02/01/2020 01:00:00,2/1/2020 1:00,*,*,Hidrelétrica,*,5,41616,88999616
02/01/2020 02:00:00,2/1/2020 2:00,*,*,Hidrelétrica,*,5,40440,29699929
02/01/2020 03:00:00,2/1/2020 3:00,*,*,Hidrelétrica,*,5,39555,25300246
02/01/2020 04:00:00,2/1/2020 4:00,*,*,Hidrelétrica,*,5,39289,94699783
02/01/2020 05:00:00,2/1/2020 5:00,*,*,Hidrelétrica,*,5,38762,24299173
02/01/2020 06:00:00,2/1/2020 6:00,*,*,Hidrelétrica,*,5,39098,75199896
02/01/2020 07:00:00,2/1/2020 7:00,*,*,Hidrelétrica,*,5,42602,98799962
02/01/2020 08:00:00,2/1/2020 8:00,*,*,Hidrelétrica,*,5,46542,83999414
02/01/2020 09:00:00,2/1/2020 9:00,*,*,Hidrelétrica,*,5,48622,9879901
02/01/2020 10:00:00,2/1/2020 10:00,*,*,Hidrelétrica,*,5,49817,35100545
02/01/2020 11:00:00,2/1/2020 11:00,*,*,Hidrelétrica,*,5,49863,43599264
02/01/2020 12:00:00,2/1/2020 12:00,*,*,Hidrelétrica,*,5,49127,33700652
02/01/2020 13:00:00,2/1/2020 13:00,*,*,Hidrelétrica,*,5,50475,78100124
