Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
,,*,*,Térmica,*,5,1015291316,91466
01/01/2020 00:00:00,1/1/2020 0:00,*,*,Térmica,*,5,12179,10150008
01/01/2020 01:00:00,1/1/2020 1:00,*,*,Térmica,*,5,11788,15050063
01/01/2020 02:00:00,1/1/2020 2:00,*,*,Térmica,*,5,11816,20599969
01/01/2020 03:00:00,1/1/2020 3:00,*,*,Térmica,*,5,11752,15450007
01/01/2020 04:00:00,1/1/2020 4:00,*,*,Térmica,*,5,11764,89250088
01/01/2020 05:00:00,1/1/2020 5:00,*,*,Térmica,*,5,11739,16900024
01/01/2020 06:00:00,1/1/2020 6:00,*,*,Térmica,*,5,11516,46999939
01/01/2020 07:00:00,1/1/2020 7:00,*,*,Térmica,*,5,11304,90199874
01/01/2020 08:00:00,1/1/2020 8:00,*,*,Térmica,*,5,11282,88449912
01/01/2020 09:00:00,1/1/2020 9:00,*,*,Térmica,*,5,11253,43149898
01/01/2020 10:00:00,1/1/2020 10:00,*,*,Térmica,*,5,11256,24550131
01/01/2020 11:00:00,1/1/2020 11:00,*,*,Térmica,*,5,11232,87000001
01/01/2020 12:00:00,1/1/2020 12:00,*,*,Térmica,*,5,11299,23650021
01/01/2020 13:00:00,1/1/2020 13:00,*,*,Térmica,*,5,11334,5170005
01/01/2020 14:00:00,1/1/2020 14:00,*,*,Térmica,*,5,11325,18850041
01/01/2020 15:00:00,1/1/2020 15:00,*,*,Térmica,*,5,11155,94649934
01/01/2020 16:00:00,1/1/2020 16:00,*,*,Térmica,*,5,11009,39100052
01/01/2020 17:00:00,1/1/2020 17:00,*,*,Térmica,*,5,11110,89849965
01/01/2020 18:00:00,1/1/2020 18:00,*,*,Térmica,*,5,11253,14500101
01/01/2020 19:00:00,1/1/2020 19:00,*,*,Térmica,*,5,11500,74600021
01/01/2020 20:00:00,1/1/2020 20:00,*,*,Térmica,*,5,11732,7475004
01/01/2020 21:00:00,1/1/2020 21:00,*,*,Térmica,*,5,11711,36399944
01/01/2020 22:00:00,1/1/2020 22:00,*,*,Térmica,*,5,11896,35000045
01/01/2020 23:00:00,1/1/2020 23:00,*,*,Térmica,*,5,11912,43149933
02/01/2020 00:00:00,2/1/2020 0:00,*,*,Térmica,*,5,11917,8189997
02/01/2020 01:00:00,2/1/2020 1:00,*,*,Térmica,*,5,11917,91499991
02/01/2020 02:00:00,2/1/2020 2:00,*,*,Térmica,*,5,11913,08900032
02/01/2020 03:00:00,2/1/2020 3:00,*,*,Térmica,*,5,11916,79400086
02/01/2020 04:00:00,2/1/2020 4:00,*,*,Térmica,*,5,11897,07199945
02/01/2020 05:00:00,2/1/2020 5:00,*,*,Térmica,*,5,11905,04900047
02/01/2020 06:00:00,2/1/2020 6:00,*,*,Térmica,*,5,11930,43500037
02/01/2020 07:00:00,2/1/2020 7:00,*,*,Térmica,*,5,11911,05300097
02/01/2020 08:00:00,2/1/2020 8:00,*,*,Térmica,*,5,11893,68399993
02/01/2020 09:00:00,2/1/2020 9:00,*,*,Térmica,*,5,11888,64799929
02/01/2020 10:00:00,2/1/2020 10:00,*,*,Térmica,*,5,11824,99299946
02/01/2020 11:00:00,2/1/2020 11:00,*,*,Térmica,*,5,11879,8530012
02/01/2020 12:00:00,2/1/2020 12:00,*,*,Térmica,*,5,11897,0809997
02/01/2020 13:00:00,2/1/2020 13:00,*,*,Térmica,*,5,11881,61999958
02/01/2020 14:00:00,2/1/2020 14:00,*,*,Térmica,*,5,11855,65899888
02/01/2020 15:00:00,2/1/2020 15:00,*,*,Térmica,*,5,11831,35399942
02/01/2020 16:00:00,2/1/2020 16:00,*,*,Térmica,*,5,11928,98099975
02/01/2020 17:00:00,2/1/2020 17:00,*,*,Térmica,*,5,11931,95999943
02/01/2020 18:00:00,2/1/2020 18:00,*,*,Térmica,*,5,11964,4150004
02/01/2020 19:00:00,2/1/2020 19:00,*,*,Térmica,*,5,11974,20000019
02/01/2020 20:00:00,2/1/2020 20:00,*,*,Térmica,*,5,11976,4949996
02/01/2020 21:00:00,2/1/2020 21:00,*,*,Térmica,*,5,12037,21300027
02/01/2020 22:00:00,2/1/2020 22:00,*,*,Térmica,*,5,12065,78600125
02/01/2020 23:00:00,2/1/2020 23:00,*,*,Térmica,*,5,12062,7620005
03/01/2020 00:00:00,3/1/2020 0:00,*,*,Térmica,*,5,12118,67700006
03/01/2020 01:00:00,3/1/2020 1:00,*,*,Térmica,*,5,12103,59199944
03/01/2020 02:00:00,3/1/2020 2:00,*,*,Térmica,*,5,12084,78199953
03/01/2020 03:00:00,3/1/2020 3:00,*,*,Térmica,*,5,12071,17100019
03/01/2020 04:00:00,3/1/2020 4:00,*,*,Térmica,*,5,12075,78700053
03/01/2020 05:00:00,3/1/2020 5:00,*,*,Térmica,*,5,12082,511999
03/01/2020 06:00:00,3/1/2020 6:00,*,*,Térmica,*,5,12114,92300014
03/01/2020 07:00:00,3/1/2020 7:00,*,*,Térmica,*,5,12183,74900044
03/01/2020 08:00:00,3/1/2020 8:00,*,*,Térmica,*,5,12247,41099982
03/01/2020 09:00:00,3/1/2020 9:00,*,*,Térmica,*,5,12313,67000028
03/01/2020 10:00:00,3/1/2020 10:00,*,*,Térmica,*,5,12406,36599986
03/01/2020 11:00:00,3/1/2020 11:00,*,*,Térmica,*,5,12430,89199923
03/01/2020 12:00:00,3/1/2020 12:00,*,*,Térmica,*,5,12304,92199921
03/01/2020 13:00:00,3/1/2020 13:00,*,*,Térmica,*,5,12238,48600021
03/01/2020 14:00:00,3/1/2020 14:00,*,*,Térmica,*,5,12179,4150008
03/01/2020 15:00:00,3/1/2020 15:00,*,*,Térmica,*,5,12099,10400046
03/01/2020 16:00:00,3/1/2020 16:00,*,*,Térmica,*,5,12100,35399913
03/01/2020 17:00:00,3/1/2020 17:00,*,*,Térmica,*,5,12161,65699916
03/01/2020 18:00:00,3/1/2020 18:00,*,*,Térmica,*,5,12284,11599996
03/01/2020 19:00:00,3/1/2020 19:00,*,*,Térmica,*,5,12369,09299886
03/01/2020 20:00:00,3/1/2020 20:00,*,*,Térmica,*,5,12384,47999966
03/01/2020 21:00:00,3/1/2020 21:00,*,*,Térmica,*,5,12435,80199921
03/01/2020 22:00:00,3/1/2020 22:00,*,*,Térmica,*,5,12456,73499919
03/01/2020 23:00:00,3/1/2020 23:00,*,*,Térmica,*,5,12446,93299977
04/01/2020 00:00:00,4/1/2020 0:00,*,*,Térmica,*,5,12391,82999848
04/01/2020 01:00:00,4/1/2020 1:00,*,*,Térmica,*,5,12415,99099952
04/01/2020 02:00:00,4/1/2020 2:00,*,*,Térmica,*,5,12234,40999967
04/01/2020 03:00:00,4/1/2020 3:00,*,*,Térmica,*,5,12272,15499975
04/01/2020 04:00:00,4/1/2020 4:00,*,*,Térmica,*,5,12353,20300056
04/01/2020 05:00:00,4/1/2020 5:00,*,*,Térmica,*,5,12341,98100112
04/01/2020 06:00:00,4/1/2020 6:00,*,*,Térmica,*,5,12355,56300088
04/01/2020 07:00:00,4/1/2020 7:00,*,*,Térmica,*,5,12374,48799869
04/01/2020 08:00:00,4/1/2020 8:00,*,*,Térmica,*,5,12333,09500073
04/01/2020 09:00:00,4/1/2020 9:00,*,*,Térmica,*,5,12339,98100041
04/01/2020 10:00:00,4/1/2020 10:00,*,*,Térmica,*,5,12338,63700113
04/01/2020 11:00:00,4/1/2020 11:00,*,*,Térmica,*,5,12331,84600011
04/01/2020 12:00:00,4/1/2020 12:00,*,*,Térmica,*,5,12342,74599926
04/01/2020 13:00:00,4/1/2020 13:00,*,*,Térmica,*,5,12252,01899999
04/01/2020 14:00:00,4/1/2020 14:00,*,*,Térmica,*,5,12232,50499846
04/01/2020 15:00:00,4/1/2020 15:00,*,*,Térmica,*,5,12189,62799896
04/01/2020 16:00:00,4/1/2020 16:00,*,*,Térmica,*,5,12254,82999861
04/01/2020 17:00:00,4/1/2020 17:00,*,*,Térmica,*,5,12273,08899834
04/01/2020 18:00:00,4/1/2020 18:00,*,*,Térmica,*,5,12273,22400087
04/01/2020 19:00:00,4/1/2020 19:00,*,*,Térmica,*,5,12272,18600041
04/01/2020 20:00:00,4/1/2020 20:00,*,*,Térmica,*,5,12286,85399953
