Dia de Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
1 de janeiro de 2020,01/01/2020 00:00:00,Dia,Nordeste,9118,71941667
2 de janeiro de 2020,02/01/2020 00:00:00,Dia,Nordeste,10401,44875
3 de janeiro de 2020,03/01/2020 00:00:00,Dia,Nordeste,10840,66125
4 de janeiro de 2020,04/01/2020 00:00:00,Dia,Nordeste,10478,52141667
5 de janeiro de 2020,05/01/2020 00:00:00,Dia,Nordeste,9775,33308333
6 de janeiro de 2020,06/01/2020 00:00:00,Dia,Nordeste,10895,4865
7 de janeiro de 2020,07/01/2020 00:00:00,Dia,Nordeste,11285,49120833
8 de janeiro de 2020,08/01/2020 00:00:00,Dia,Nordeste,11332,524
9 de janeiro de 2020,09/01/2020 00:00:00,Dia,Nordeste,11258,69566667
10 de janeiro de 2020,10/01/2020 00:00:00,Dia,Nordeste,11154,473625
11 de janeiro de 2020,11/01/2020 00:00:00,Dia,Nordeste,10573,66420833
12 de janeiro de 2020,12/01/2020 00:00:00,Dia,Nordeste,9940,4045
13 de janeiro de 2020,13/01/2020 00:00:00,Dia,Nordeste,11413,97716667
14 de janeiro de 2020,14/01/2020 00:00:00,Dia,Nordeste,11647,37770833
15 de janeiro de 2020,15/01/2020 00:00:00,Dia,Nordeste,11345,98604167
16 de janeiro de 2020,16/01/2020 00:00:00,Dia,Nordeste,11484,34229167
17 de janeiro de 2020,17/01/2020 00:00:00,Dia,Nordeste,11356,37445833
18 de janeiro de 2020,18/01/2020 00:00:00,Dia,Nordeste,10824,557625
19 de janeiro de 2020,19/01/2020 00:00:00,Dia,Nordeste,10205,9195
20 de janeiro de 2020,20/01/2020 00:00:00,Dia,Nordeste,11539,33770833
21 de janeiro de 2020,21/01/2020 00:00:00,Dia,Nordeste,11841,37283333
22 de janeiro de 2020,22/01/2020 00:00:00,Dia,Nordeste,11538,43791667
23 de janeiro de 2020,23/01/2020 00:00:00,Dia,Nordeste,11218,392625
24 de janeiro de 2020,24/01/2020 00:00:00,Dia,Nordeste,11024,81041667
25 de janeiro de 2020,25/01/2020 00:00:00,Dia,Nordeste,10767,8225
26 de janeiro de 2020,26/01/2020 00:00:00,Dia,Nordeste,10124,412875
27 de janeiro de 2020,27/01/2020 00:00:00,Dia,Nordeste,11194,84566667
28 de janeiro de 2020,28/01/2020 00:00:00,Dia,Nordeste,11033,543625
29 de janeiro de 2020,29/01/2020 00:00:00,Dia,Nordeste,11309,849625
30 de janeiro de 2020,30/01/2020 00:00:00,Dia,Nordeste,11272,05466667
31 de janeiro de 2020,31/01/2020 00:00:00,Dia,Nordeste,11330,48633333
1 de fevereiro de 2020,01/02/2020 00:00:00,Dia,Nordeste,10902,40125
2 de fevereiro de 2020,02/02/2020 00:00:00,Dia,Nordeste,10195,41791667
