Dia de Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
1 de janeiro de 2020,01/01/2020 00:00:00,Dia,Norte,4843,8065
2 de janeiro de 2020,02/01/2020 00:00:00,Dia,Norte,5208,28929167
3 de janeiro de 2020,03/01/2020 00:00:00,Dia,Norte,5445,04020833
4 de janeiro de 2020,04/01/2020 00:00:00,Dia,Norte,5330,29879167
5 de janeiro de 2020,05/01/2020 00:00:00,Dia,Norte,5163,5525
6 de janeiro de 2020,06/01/2020 00:00:00,Dia,Norte,5453,02554167
7 de janeiro de 2020,07/01/2020 00:00:00,Dia,Norte,5423,70245833
8 de janeiro de 2020,08/01/2020 00:00:00,Dia,Norte,5377,50916667
9 de janeiro de 2020,09/01/2020 00:00:00,Dia,Norte,5421,68158333
10 de janeiro de 2020,10/01/2020 00:00:00,Dia,Norte,5423,87170833
11 de janeiro de 2020,11/01/2020 00:00:00,Dia,Norte,5187,01766667
12 de janeiro de 2020,12/01/2020 00:00:00,Dia,Norte,4967,79533333
13 de janeiro de 2020,13/01/2020 00:00:00,Dia,Norte,5363,79125
14 de janeiro de 2020,14/01/2020 00:00:00,Dia,Norte,5423,65383333
15 de janeiro de 2020,15/01/2020 00:00:00,Dia,Norte,5490,52979167
16 de janeiro de 2020,16/01/2020 00:00:00,Dia,Norte,5622,21304167
17 de janeiro de 2020,17/01/2020 00:00:00,Dia,Norte,5594,116125
18 de janeiro de 2020,18/01/2020 00:00:00,Dia,Norte,5393,147875
19 de janeiro de 2020,19/01/2020 00:00:00,Dia,Norte,5000,50958333
20 de janeiro de 2020,20/01/2020 00:00:00,Dia,Norte,5472,4085
21 de janeiro de 2020,21/01/2020 00:00:00,Dia,Norte,5578,53325
22 de janeiro de 2020,22/01/2020 00:00:00,Dia,Norte,5603,32291667
23 de janeiro de 2020,23/01/2020 00:00:00,Dia,Norte,5622,404
24 de janeiro de 2020,24/01/2020 00:00:00,Dia,Norte,5660,39979167
25 de janeiro de 2020,25/01/2020 00:00:00,Dia,Norte,5443,99916667
26 de janeiro de 2020,26/01/2020 00:00:00,Dia,Norte,5305,25920833
27 de janeiro de 2020,27/01/2020 00:00:00,Dia,Norte,5579,96175
28 de janeiro de 2020,28/01/2020 00:00:00,Dia,Norte,5535,8055
29 de janeiro de 2020,29/01/2020 00:00:00,Dia,Norte,5635,80020833
30 de janeiro de 2020,30/01/2020 00:00:00,Dia,Norte,5656,86170833
31 de janeiro de 2020,31/01/2020 00:00:00,Dia,Norte,5630,14825
1 de fevereiro de 2020,01/02/2020 00:00:00,Dia,Norte,5475,68983333
2 de fevereiro de 2020,02/02/2020 00:00:00,Dia,Norte,5194,692875
3 de fevereiro de 2020,03/02/2020 00:00:00,Dia,Norte,5642,64533333
4 de fevereiro de 2020,04/02/2020 00:00:00,Dia,Norte,5650,46241667
5 de fevereiro de 2020,05/02/2020 00:00:00,Dia,Norte,5500,07879167
6 de fevereiro de 2020,06/02/2020 00:00:00,Dia,Norte,5468,58108333
7 de fevereiro de 2020,07/02/2020 00:00:00,Dia,Norte,5427,64058333
