Dia de Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
1 de janeiro de 2020,01/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,33011,46402083
2 de janeiro de 2020,02/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,38190,397375
3 de janeiro de 2020,03/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,37586,950125
4 de janeiro de 2020,04/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35073,447375
5 de janeiro de 2020,05/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,32763,88079167
6 de janeiro de 2020,06/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,38517,78025
7 de janeiro de 2020,07/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41131,92266667
8 de janeiro de 2020,08/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41589,93429167
9 de janeiro de 2020,09/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41755,387125
10 de janeiro de 2020,10/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42531,16983333
11 de janeiro de 2020,11/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39832,87883333
12 de janeiro de 2020,12/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,36347,00658333
13 de janeiro de 2020,13/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41105,47516667
14 de janeiro de 2020,14/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41511,55545833
15 de janeiro de 2020,15/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42893,2035
16 de janeiro de 2020,16/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,44947,485625
17 de janeiro de 2020,17/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42207,26354167
18 de janeiro de 2020,18/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,36918,915375
19 de janeiro de 2020,19/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,33829,36704167
20 de janeiro de 2020,20/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39376,809125
21 de janeiro de 2020,21/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,40548,66070833
22 de janeiro de 2020,22/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,40381,0765
23 de janeiro de 2020,23/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39488,35225
24 de janeiro de 2020,24/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,38782,14954167
25 de janeiro de 2020,25/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35532,63158333
26 de janeiro de 2020,26/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,33050,10579167
27 de janeiro de 2020,27/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,40444,821625
28 de janeiro de 2020,28/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42544,530125
29 de janeiro de 2020,29/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,43165,83208333
30 de janeiro de 2020,30/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,43732,777625
31 de janeiro de 2020,31/01/2020 00:00:00,Dia,Sudeste/Centro-Oeste,43509,36620833
1 de fevereiro de 2020,01/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39857,81329167
2 de fevereiro de 2020,02/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35884,70183333
3 de fevereiro de 2020,03/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41481,07166667
4 de fevereiro de 2020,04/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41790,751875
5 de fevereiro de 2020,05/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41908,981125
6 de fevereiro de 2020,06/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41191,18825
7 de fevereiro de 2020,07/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,40906,97533333
8 de fevereiro de 2020,08/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,37943,64516667
9 de fevereiro de 2020,09/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35050,30120833
10 de fevereiro de 2020,10/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,40498,43441667
11 de fevereiro de 2020,11/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39537,44404167
12 de fevereiro de 2020,12/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39025,719
13 de fevereiro de 2020,13/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39330,03883333
14 de fevereiro de 2020,14/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,40509,18225
15 de fevereiro de 2020,15/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,38615,66129167
16 de fevereiro de 2020,16/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35975,59275
17 de fevereiro de 2020,17/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42777,368125
18 de fevereiro de 2020,18/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,44491,90216667
19 de fevereiro de 2020,19/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,44564,20945833
20 de fevereiro de 2020,20/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,44549,63779167
21 de fevereiro de 2020,21/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42885,02866667
22 de fevereiro de 2020,22/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,36801,76191667
23 de fevereiro de 2020,23/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,31933,59470833
24 de fevereiro de 2020,24/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,34983,581625
25 de fevereiro de 2020,25/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,36053,19575
26 de fevereiro de 2020,26/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,40125,751875
27 de fevereiro de 2020,27/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39824,99804167
28 de fevereiro de 2020,28/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,38617,31741667
29 de fevereiro de 2020,29/02/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35605,02116667
1 de março de 2020,01/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,31979,86841667
2 de março de 2020,02/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,37251,057
3 de março de 2020,03/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,38291,25375
4 de março de 2020,04/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,38901,60970833
5 de março de 2020,05/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39495,171875
6 de março de 2020,06/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39213,85145833
7 de março de 2020,07/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35932,55945833
8 de março de 2020,08/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,32874,78058333
9 de março de 2020,09/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39677,90225
10 de março de 2020,10/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41408,57970833
11 de março de 2020,11/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41580,75195833
12 de março de 2020,12/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42033,60758333
13 de março de 2020,13/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42662,96854167
14 de março de 2020,14/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,39477,35679167
15 de março de 2020,15/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,36160,45945833
16 de março de 2020,16/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42362,20320833
17 de março de 2020,17/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42150,41279167
18 de março de 2020,18/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42777,29329167
19 de março de 2020,19/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,42393,15495833
20 de março de 2020,20/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,41043,67633333
21 de março de 2020,21/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35865,72725
22 de março de 2020,22/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,31943,33841667
23 de março de 2020,23/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35774,12166667
24 de março de 2020,24/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35409,18558333
25 de março de 2020,25/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35178,33208333
26 de março de 2020,26/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35174,89795833
27 de março de 2020,27/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35193,02108333
28 de março de 2020,28/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,33893,03879167
29 de março de 2020,29/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,31856,198375
30 de março de 2020,30/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35453,49504167
31 de março de 2020,31/03/2020 00:00:00,Dia,Sudeste/Centro-Oeste,36077,97158333
1 de abril de 2020,01/04/2020 00:00:00,Dia,Sudeste/Centro-Oeste,35710,896125
2 de abril de 2020,02/04/2020 00:00:00,Dia,Sudeste/Centro-Oeste,36330,5915
3 de abril de 2020,03/04/2020 00:00:00,Dia,Sudeste/Centro-Oeste,
