Dia de Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
1 de janeiro de 2020,01/01/2020 00:00:00,Dia,Sul,9969,994875
2 de janeiro de 2020,02/01/2020 00:00:00,Dia,Sul,11190,42941667
3 de janeiro de 2020,03/01/2020 00:00:00,Dia,Sul,11121,44704167
4 de janeiro de 2020,04/01/2020 00:00:00,Dia,Sul,10443,86595833
5 de janeiro de 2020,05/01/2020 00:00:00,Dia,Sul,9790,93504167
6 de janeiro de 2020,06/01/2020 00:00:00,Dia,Sul,12860,62933333
7 de janeiro de 2020,07/01/2020 00:00:00,Dia,Sul,13524,41445833
8 de janeiro de 2020,08/01/2020 00:00:00,Dia,Sul,13620,05170833
9 de janeiro de 2020,09/01/2020 00:00:00,Dia,Sul,14531,329875
10 de janeiro de 2020,10/01/2020 00:00:00,Dia,Sul,14553,25654167
11 de janeiro de 2020,11/01/2020 00:00:00,Dia,Sul,11907,31766667
12 de janeiro de 2020,12/01/2020 00:00:00,Dia,Sul,10600,99808333
13 de janeiro de 2020,13/01/2020 00:00:00,Dia,Sul,13473,66679167
14 de janeiro de 2020,14/01/2020 00:00:00,Dia,Sul,13999,02316667
15 de janeiro de 2020,15/01/2020 00:00:00,Dia,Sul,14459,128875
16 de janeiro de 2020,16/01/2020 00:00:00,Dia,Sul,13487,27825
17 de janeiro de 2020,17/01/2020 00:00:00,Dia,Sul,12443,80875
18 de janeiro de 2020,18/01/2020 00:00:00,Dia,Sul,10874,71595833
19 de janeiro de 2020,19/01/2020 00:00:00,Dia,Sul,10135,52683333
20 de janeiro de 2020,20/01/2020 00:00:00,Dia,Sul,13760,19
21 de janeiro de 2020,21/01/2020 00:00:00,Dia,Sul,13851,22775
22 de janeiro de 2020,22/01/2020 00:00:00,Dia,Sul,12907,69633333
23 de janeiro de 2020,23/01/2020 00:00:00,Dia,Sul,12657,54279167
24 de janeiro de 2020,24/01/2020 00:00:00,Dia,Sul,12848,32791667
25 de janeiro de 2020,25/01/2020 00:00:00,Dia,Sul,11561,634125
26 de janeiro de 2020,26/01/2020 00:00:00,Dia,Sul,10663,823375
27 de janeiro de 2020,27/01/2020 00:00:00,Dia,Sul,14088,99970833
28 de janeiro de 2020,28/01/2020 00:00:00,Dia,Sul,14220,9315
29 de janeiro de 2020,29/01/2020 00:00:00,Dia,Sul,13864,235875
30 de janeiro de 2020,30/01/2020 00:00:00,Dia,Sul,13507,5145
31 de janeiro de 2020,31/01/2020 00:00:00,Dia,Sul,13653,178875
1 de fevereiro de 2020,01/02/2020 00:00:00,Dia,Sul,11781,185375
2 de fevereiro de 2020,02/02/2020 00:00:00,Dia,Sul,10266,56725
3 de fevereiro de 2020,03/02/2020 00:00:00,Dia,Sul,13174,125
4 de fevereiro de 2020,04/02/2020 00:00:00,Dia,Sul,13652,06325
5 de fevereiro de 2020,05/02/2020 00:00:00,Dia,Sul,14080,22779167
6 de fevereiro de 2020,06/02/2020 00:00:00,Dia,Sul,14450,60575
7 de fevereiro de 2020,07/02/2020 00:00:00,Dia,Sul,14507,45254167
8 de fevereiro de 2020,08/02/2020 00:00:00,Dia,Sul,12704,85441667
9 de fevereiro de 2020,09/02/2020 00:00:00,Dia,Sul,10650,45454167
10 de fevereiro de 2020,10/02/2020 00:00:00,Dia,Sul,12765,57416667
11 de fevereiro de 2020,11/02/2020 00:00:00,Dia,Sul,12964,20629167
12 de fevereiro de 2020,12/02/2020 00:00:00,Dia,Sul,13155,1195
13 de fevereiro de 2020,13/02/2020 00:00:00,Dia,Sul,13542,38570833
14 de fevereiro de 2020,14/02/2020 00:00:00,Dia,Sul,13741,32304167
15 de fevereiro de 2020,15/02/2020 00:00:00,Dia,Sul,12423,63895833
16 de fevereiro de 2020,16/02/2020 00:00:00,Dia,Sul,11269,236
17 de fevereiro de 2020,17/02/2020 00:00:00,Dia,Sul,14835,65891667
18 de fevereiro de 2020,18/02/2020 00:00:00,Dia,Sul,15047,13170833
19 de fevereiro de 2020,19/02/2020 00:00:00,Dia,Sul,14662,95129167
20 de fevereiro de 2020,20/02/2020 00:00:00,Dia,Sul,14539,47479167
21 de fevereiro de 2020,21/02/2020 00:00:00,Dia,Sul,13433,861125
22 de fevereiro de 2020,22/02/2020 00:00:00,Dia,Sul,10714,01308333
23 de fevereiro de 2020,23/02/2020 00:00:00,Dia,Sul,9330,981875
24 de fevereiro de 2020,24/02/2020 00:00:00,Dia,Sul,11902,68279167
25 de fevereiro de 2020,25/02/2020 00:00:00,Dia,Sul,12339,60929167
26 de fevereiro de 2020,26/02/2020 00:00:00,Dia,Sul,12475,394125
27 de fevereiro de 2020,27/02/2020 00:00:00,Dia,Sul,12387,89283333
28 de fevereiro de 2020,28/02/2020 00:00:00,Dia,Sul,12678,36941667
29 de fevereiro de 2020,29/02/2020 00:00:00,Dia,Sul,11200,682625
1 de março de 2020,01/03/2020 00:00:00,Dia,Sul,9647,81170833
2 de março de 2020,02/03/2020 00:00:00,Dia,Sul,12576,18025
3 de março de 2020,03/03/2020 00:00:00,Dia,Sul,12972,84229167
4 de março de 2020,04/03/2020 00:00:00,Dia,Sul,13275,109625
5 de março de 2020,05/03/2020 00:00:00,Dia,Sul,13339,29508333
6 de março de 2020,06/03/2020 00:00:00,Dia,Sul,13303,64075
7 de março de 2020,07/03/2020 00:00:00,Dia,Sul,11421,23166667
8 de março de 2020,08/03/2020 00:00:00,Dia,Sul,10092,04233333
9 de março de 2020,09/03/2020 00:00:00,Dia,Sul,13698,2305
10 de março de 2020,10/03/2020 00:00:00,Dia,Sul,14377,33129167
11 de março de 2020,11/03/2020 00:00:00,Dia,Sul,14597,46695833
12 de março de 2020,12/03/2020 00:00:00,Dia,Sul,14911,20516667
13 de março de 2020,13/03/2020 00:00:00,Dia,Sul,15242,14291667
14 de março de 2020,14/03/2020 00:00:00,Dia,Sul,13012,314875
15 de março de 2020,15/03/2020 00:00:00,Dia,Sul,11387,873
16 de março de 2020,16/03/2020 00:00:00,Dia,Sul,13929,904
17 de março de 2020,17/03/2020 00:00:00,Dia,Sul,13848,72491667
18 de março de 2020,18/03/2020 00:00:00,Dia,Sul,13534,3575
19 de março de 2020,19/03/2020 00:00:00,Dia,Sul,13142,52770833
