Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
,,*,*,Hidrelétrica,*,4,13529235,2519993
01/01/2000 00:00:00,1/1/2000,*,*,Hidrelétrica,*,4,28615,89166646
02/01/2000 00:00:00,2/1/2000,*,*,Hidrelétrica,*,4,29287,48749978
03/01/2000 00:00:00,3/1/2000,*,*,Hidrelétrica,*,4,35312,9874998
04/01/2000 00:00:00,4/1/2000,*,*,Hidrelétrica,*,4,36888,45833308
05/01/2000 00:00:00,5/1/2000,*,*,Hidrelétrica,*,4,37882,84999977
06/01/2000 00:00:00,6/1/2000,*,*,Hidrelétrica,*,4,38608,29999979
07/01/2000 00:00:00,7/1/2000,*,*,Hidrelétrica,*,4,38464,92083309
08/01/2000 00:00:00,8/1/2000,*,*,Hidrelétrica,*,4,34913,27919613
09/01/2000 00:00:00,9/1/2000,*,*,Hidrelétrica,*,4,31474,35418941
10/01/2000 00:00:00,10/1/2000,*,*,Hidrelétrica,*,4,38556,04582677
11/01/2000 00:00:00,11/1/2000,*,*,Hidrelétrica,*,4,40042,18745642
12/01/2000 00:00:00,12/1/2000,*,*,Hidrelétrica,*,4,40372,89996643
13/01/2000 00:00:00,13/1/2000,*,*,Hidrelétrica,*,4,40508,01248981
14/01/2000 00:00:00,14/1/2000,*,*,Hidrelétrica,*,4,40884,40415975
15/01/2000 00:00:00,15/1/2000,*,*,Hidrelétrica,*,4,36832,19163642
16/01/2000 00:00:00,16/1/2000,*,*,Hidrelétrica,*,4,32835,62498941
17/01/2000 00:00:00,17/1/2000,*,*,Hidrelétrica,*,4,39988,67082645
18/01/2000 00:00:00,18/1/2000,*,*,Hidrelétrica,*,4,41259,47290675
19/01/2000 00:00:00,19/1/2000,*,*,Hidrelétrica,*,4,40904,78332309
20/01/2000 00:00:00,20/1/2000,*,*,Hidrelétrica,*,4,39202,83337278
21/01/2000 00:00:00,21/1/2000,*,*,Hidrelétrica,*,4,39765,52500344
22/01/2000 00:00:00,22/1/2000,*,*,Hidrelétrica,*,4,36172,04172981
23/01/2000 00:00:00,23/1/2000,*,*,Hidrelétrica,*,4,32217,76249007
24/01/2000 00:00:00,24/1/2000,*,*,Hidrelétrica,*,4,38716,93329976
25/01/2000 00:00:00,25/1/2000,*,*,Hidrelétrica,*,4,39675,59999644
26/01/2000 00:00:00,26/1/2000,*,*,Hidrelétrica,*,4,40413,61248978
27/01/2000 00:00:00,27/1/2000,*,*,Hidrelétrica,*,4,39569,02912676
28/01/2000 00:00:00,28/1/2000,*,*,Hidrelétrica,*,4,38901,44162643
29/01/2000 00:00:00,29/1/2000,*,*,Hidrelétrica,*,4,35125,35839278
30/01/2000 00:00:00,30/1/2000,*,*,Hidrelétrica,*,4,31661,82913012
31/01/2000 00:00:00,31/1/2000,*,*,Hidrelétrica,*,4,39239,76666642
01/02/2000 00:00:00,1/2/2000,*,*,Hidrelétrica,*,4,39812,60833311
02/02/2000 00:00:00,2/2/2000,*,*,Hidrelétrica,*,4,39874,61246312
03/02/2000 00:00:00,3/2/2000,*,*,Hidrelétrica,*,4,40463,66666646
04/02/2000 00:00:00,4/2/2000,*,*,Hidrelétrica,*,4,40775,84162642
05/02/2000 00:00:00,5/2/2000,*,*,Hidrelétrica,*,4,36557,93749312
06/02/2000 00:00:00,6/2/2000,*,*,Hidrelétrica,*,4,32238,84167981
07/02/2000 00:00:00,7/2/2000,*,*,Hidrelétrica,*,4,38876,37079311
08/02/2000 00:00:00,8/2/2000,*,*,Hidrelétrica,*,4,39969,36668645
09/02/2000 00:00:00,9/2/2000,*,*,Hidrelétrica,*,4,40300,44169276
10/02/2000 00:00:00,10/2/2000,*,*,Hidrelétrica,*,4,40491,14586344
11/02/2000 00:00:00,11/2/2000,*,*,Hidrelétrica,*,4,40741,10829304
12/02/2000 00:00:00,12/2/2000,*,*,Hidrelétrica,*,4,37241,10002941
13/02/2000 00:00:00,13/2/2000,*,*,Hidrelétrica,*,4,33095,68745976
